Entity,Code,Year,$10 - total number of people above poverty line,$5.50-$10 - total number of people between poverty lines,$3.20-$5.50 - total number of people between poverty lines,$1.90-$3.20 - total number of people between poverty lines,$1.90 - total number of people below poverty line
Croatia,HRV,1998,4426064,101501,4570,0,0
Croatia,HRV,1999,3632057,780679,76554,12667,10640
Croatia,HRV,2000,3613856,767836,74984,7634,3992
Croatia,HRV,2001,3336289,852725,98129,9183,3316
Croatia,HRV,2004,4108369,177519,12443,6269,0
Croatia,HRV,2008,4051068,235452,17808,5377,0
Croatia,HRV,2009,4004326,278631,18608,2134,1482
Croatia,HRV,2010,4003293,267393,22559,2182,0
Croatia,HRV,2011,3358473,628375,211512,53799,28463
Croatia,HRV,2012,3258574,717047,198102,58177,35658
Croatia,HRV,2013,3187818,781334,199425,56094,31018
Croatia,HRV,2014,3307218,686692,169255,33611,41613
Croatia,HRV,2015,3400085,595345,153890,28630,25654
Croatia,HRV,2016,3503662,500995,116175,27611,25906
Croatia,HRV,2017,3560598,414762,103512,23809,21850
Croatia,HRV,2018,3665122,326576,65500,12759,17886
Croatia,HRV,2019,3711510,280179,48681,14316,10567
Cyprus,CYP,2004,1001210,7383,867,0,950
Cyprus,CYP,2005,1023009,3595,497,491,65
Cyprus,CYP,2006,1042657,2393,131,327,0
Cyprus,CYP,2007,1061964,734,742,0,268
Cyprus,CYP,2008,1080299,950,227,0,92
Cyprus,CYP,2009,1091872,4606,312,70,1229
Cyprus,CYP,2010,1105684,5080,765,842,246
Cyprus,CYP,2011,1115785,7475,1216,271,90
Cyprus,CYP,2012,1126894,7482,434,188,48
Cyprus,CYP,2013,1126842,14219,642,1053,1110
Cyprus,CYP,2014,1126436,22536,1496,926,903
Cyprus,CYP,2015,1145227,14495,213,1052,0
Cyprus,CYP,2016,1158138,10937,52,580,482
Cyprus,CYP,2017,1170571,8509,0,218,387
Cyprus,CYP,2018,1180392,7907,33,734,196
Cyprus,CYP,2019,1189062,5432,1412,824,1844
Czechia,CZE,1992,9132660,1135042,51421,0,0
Czechia,CZE,1993,8831091,1466843,27736,2522,1663
Czechia,CZE,1996,9361377,825355,102833,25676,0
Czechia,CZE,2002,9412258,734569,50089,0,0
Czechia,CZE,2004,9447601,648549,98041,2910,0
Czechia,CZE,2005,9591658,562518,51139,5397,504
Czechia,CZE,2006,9694323,481462,55366,1016,6738
Czechia,CZE,2007,9923552,323606,30946,8787,11937
Czechia,CZE,2008,10013408,339889,18550,9352,3404
Czechia,CZE,2009,10058601,320513,58549,5016,1257
Czechia,CZE,2010,10067350,330678,63602,8991,3789
Czechia,CZE,2011,10078147,357538,50231,5337,4835
Czechia,CZE,2012,10175413,274181,32350,25456,3385
Czechia,CZE,2013,10077866,383733,46739,1130,4804
Czechia,CZE,2014,10153600,308063,56900,6784,0
Czechia,CZE,2015,10211807,302667,29247,1414,924
Czechia,CZE,2016,10333344,170694,53861,8433,0
Czechia,CZE,2017,10412165,135134,34557,12582,0
Czechia,CZE,2018,10476465,134710,13565,4246,942
Czechia,CZE,2019,10520327,124022,27521,0,0
Democratic Republic of Congo,COD,2004,23653,118791,643655,2249980,50032790
Democratic Republic of Congo,COD,2012,264201,1219381,4476202,9809922,53251043
Denmark,DNK,1987,5037467,25703,25501,12851,25502
Denmark,DNK,1992,5081061,38617,13074,13074,25544
Denmark,DNK,1995,5207299,13128,0,12946,0
Denmark,DNK,2000,5326269,0,13347,0,0
Denmark,DNK,2003,5348201,20123,2366,1380,18504
Denmark,DNK,2004,5361143,21455,4027,875,17023
Denmark,DNK,2005,5367661,26720,9977,1263,13811
Denmark,DNK,2006,5388133,32841,4527,4294,7477
Denmark,DNK,2007,5400927,33021,8611,18119,760
Denmark,DNK,2008,5444935,12479,16176,13812,6219
Denmark,DNK,2009,5441134,32831,17877,3926,27327
Denmark,DNK,2010,5484222,53462,2316,4505,3178
Denmark,DNK,2011,5509971,29084,31517,0,0
Denmark,DNK,2012,5505117,77117,9338,0,0
Denmark,DNK,2013,5551657,27232,18585,0,17458
Denmark,DNK,2014,5552615,53983,23145,2298,11434
Denmark,DNK,2015,5635214,24279,11784,2236,9970
Denmark,DNK,2016,5689303,15615,5915,1231,15946
Denmark,DNK,2017,5746155,6096,2867,1739,8123
Denmark,DNK,2018,5760840,17799,1873,3268,9856
Denmark,DNK,2019,5778551,13168,3172,4913,14618
Djibouti,DJI,2002,46166,128028,219346,202554,150853
Djibouti,DJI,2012,95443,181722,260878,172254,157839
Djibouti,DJI,2013,74417,150688,267364,193704,197123
Djibouti,DJI,2017,84958,196383,286950,215246,160563
Dominican Republic,DOM,1986,2954561,1705151,1012303,563593,361359
Dominican Republic,DOM,1989,1408551,1676042,1682778,1244218,986288
Dominican Republic,DOM,1992,2171623,2125674,1732365,960215,418462
Dominican Republic,DOM,1996,3013063,2319017,1500967,695589,424130
Dominican Republic,DOM,1997,3377213,2246292,1395959,609721,455222
Dominican Republic,DOM,2000,3624968,2189914,1529133,657366,469936
Dominican Republic,DOM,2001,3544369,2380970,1578218,741901,353141
Dominican Republic,DOM,2002,3637334,2347503,1475755,748625,515757
Dominican Republic,DOM,2003,2957900,2382061,1936282,962476,611598
Dominican Republic,DOM,2004,2412797,2336234,2119679,1300375,805359
Dominican Republic,DOM,2005,3115441,2530454,1889277,1027343,534747
Dominican Republic,DOM,2006,3515737,2503337,1867252,901432,430923
Dominican Republic,DOM,2007,3352461,2758687,1919415,889599,418694
Dominican Republic,DOM,2008,3330170,2747535,1996024,1011136,373214
Dominican Republic,DOM,2009,3642253,2818891,1864538,911115,339939
Dominican Republic,DOM,2010,3823217,2682005,1950440,978198,261257
Dominican Republic,DOM,2011,3935106,2839550,2014258,738550,285755
Dominican Republic,DOM,2012,3901499,2972834,1955327,843170,258086
Dominican Republic,DOM,2013,4033950,3014690,1989396,792597,217593
Dominican Republic,DOM,2014,4572411,3035988,1765098,580338,211347
Dominican Republic,DOM,2015,5095563,2949250,1575554,478208,183100
Dominican Republic,DOM,2016,5500908,2823893,1459170,443605,170162
Dominican Republic,DOM,2017,5575703,3263751,1278004,322907,72746
Dominican Republic,DOM,2018,5942518,3206729,1201784,229889,46227
Dominican Republic,DOM,2019,6345246,3062590,1041559,228837,60725
Dominican Republic,DOM,2020,5767596,3435364,1211824,349785,83335
East Asia and Pacific,,1981,14897707,25305026,50342083,182878502,1108347252
East Asia and Pacific,,1982,15425836,26259876,58674099,208918970,1096150698
East Asia and Pacific,,1983,15841570,27363498,70526534,246137920,1069353368
East Asia and Pacific,,1984,16426482,29930423,87637421,305772545,1012181870
East Asia and Pacific,,1985,16592011,32763211,105359344,351563346,969112885
East Asia and Pacific,,1986,17001193,36422850,122406661,382923398,941611284
East Asia and Pacific,,1987,17796252,41790218,149167400,420641011,897438896
East Asia and Pacific,,1988,18678018,49743797,188168473,469525009,827496691
East Asia and Pacific,,1989,22609056,51142610,144548516,360580999,1000852602
East Asia and Pacific,,1990,25494490,55756933,160064333,386853857,977088368
East Asia and Pacific,,1991,28202198,60503402,176948538,404633233,959416121
East Asia and Pacific,,1992,32465296,68573585,202336619,421416825,927808316
East Asia and Pacific,,1993,36404793,79240765,229680849,437798424,891527725
East Asia and Pacific,,1994,41077081,95356401,265165914,451451558,843485756
East Asia and Pacific,,1995,47808391,112914134,299517528,491877956,765857310
East Asia and Pacific,,1996,56776957,132081266,331189415,519506098,699471829
East Asia and Pacific,,1997,62149099,140940063,338216522,512274511,706249070
East Asia and Pacific,,1998,63780495,147630688,337171116,494008659,737279471
East Asia and Pacific,,1999,68862441,167965687,363559460,517129381,681207380
East Asia and Pacific,,2000,80402038,197933115,383623632,522619395,631964512
East Asia and Pacific,,2001,91395994,224375541,398300702,519296218,600142453
East Asia and Pacific,,2002,111082977,263543407,428453605,508745154,537870540
East Asia and Pacific,,2003,127044986,290389721,451152926,514010055,482622806
East Asia and Pacific,,2004,149954963,319007802,475796833,512733185,422843136
East Asia and Pacific,,2005,184036449,358734260,508063603,497479286,347048056
East Asia and Pacific,,2006,208689213,378501538,503722137,478158883,340904969
East Asia and Pacific,,2007,249190694,412825779,510568611,449370772,302146535
East Asia and Pacific,,2008,279425234,430649234,511443971,431064573,285557459
East Asia and Pacific,,2009,317546027,453786074,514372968,415456365,250938372
East Asia and Pacific,,2010,379077397,493658711,504853557,376707295,211739300
East Asia and Pacific,,2011,426968807,527075242,515369849,350463751,161144385
East Asia and Pacific,,2012,492515110,544161946,500123176,324085109,137081649
East Asia and Pacific,,2013,573125850,597502421,504448002,274223313,65562329
East Asia and Pacific,,2014,640288696,620354345,477040492,239776636,53808953
East Asia and Pacific,,2015,707052528,638738518,457705867,201324909,42092020
East Asia and Pacific,,2016,769054689,650396724,431000053,176424538,35440679
East Asia and Pacific,,2017,823014308,646755350,421980855,156097915,30207381
East Asia and Pacific,,2018,891585393,648431456,397363496,129363253,25022207
East Asia and Pacific,,2019,950280580,654962632,373568197,106648231,18331413
Ecuador,ECU,1994,1946750,2437434,2910383,1972314,1941118
Ecuador,ECU,1999,2075139,2473061,2875754,2295397,2722758
Ecuador,ECU,2000,1440849,2018658,2880021,2736299,3605296
Ecuador,ECU,2003,3066802,3109791,3117154,2088028,1987903
Ecuador,ECU,2004,3038390,3090491,3126895,2293160,2047454
Ecuador,ECU,2005,4022411,3377434,2923774,1870286,1631934
Ecuador,ECU,2006,4544501,3692978,3022208,1651925,1147767
Ecuador,ECU,2007,4780813,3727103,3018011,1551443,1219184
Ecuador,ECU,2008,5049659,3910094,2911563,1572215,1092209
Ecuador,ECU,2009,4938802,4171637,3102020,1480310,1081643
Ecuador,ECU,2010,5597547,4232118,2940997,1385419,855033
Ecuador,ECU,2011,6411562,4229610,2740748,1147466,714499
Ecuador,ECU,2012,7006458,4200628,2491685,1079934,695394
Ecuador,ECU,2013,7099361,4332118,2696508,1069857,509629
Ecuador,ECU,2014,7518710,4628882,2432736,950975,420529
Ecuador,ECU,2015,7666707,4532435,2482109,970893,559878
Ecuador,ECU,2016,7750286,4779101,2411761,960004,589964
Ecuador,ECU,2017,8277108,4600283,2446910,919993,541062
Ecuador,ECU,2018,8200486,4747402,2484846,1083344,568281
Ecuador,ECU,2019,8166528,4796805,2706927,1080797,622600
Ecuador,ECU,2020,7036596,5202606,2895229,1358435,1150194
Ecuador - urban,,1987,986696,1257845,1146848,745374,888092
Ecuador - urban,,1995,1224356,1382643,1859767,1236688,913760
Ecuador - urban,,1998,1282617,1552066,1811026,1430388,1156485
Egypt,EGY,1990,2617891,9259915,21529023,17871540,4856109
Egypt,EGY,1995,2329277,9005145,25097058,22404418,3498127
Egypt,EGY,1999,4323904,15681330,29482723,16422322,1605312
Egypt,EGY,2004,4079677,12443644,31369257,22447966,3831529
Egypt,EGY,2008,4121154,13852405,35012169,22920412,3729941
Egypt,EGY,2010,5534114,18851520,38792515,17802614,1780481
Egypt,EGY,2012,5731500,22142412,42135531,15129991,1282806
Egypt,EGY,2015,7880503,25053054,42722818,15298148,1488026
Egypt,EGY,2017,5926122,20491227,42164780,24189890,3670571
El Salvador,SLV,1989,1127453,1360507,1087263,678508,946877
El Salvador,SLV,1991,965775,1138062,1249716,871458,1117179
El Salvador,SLV,1995,1229442,1504483,1339636,841873,713168
El Salvador,SLV,1996,1259970,1416680,1351496,836188,825609
El Salvador,SLV,1998,1390876,1362689,1123731,742889,1177579
El Salvador,SLV,1999,1515542,1382247,1250258,735190,961597
El Salvador,SLV,2000,1727808,1506918,1222412,700886,729906
El Salvador,SLV,2001,1677908,1471326,1239710,730767,807290
El Salvador,SLV,2002,1714466,1444269,1240150,720198,843056
El Salvador,SLV,2003,1601874,1527705,1231791,728597,904108
El Salvador,SLV,2004,1699856,1580000,1363364,716073,664508
El Salvador,SLV,2005,1654745,1643188,1353645,761345,639201
El Salvador,SLV,2006,1613168,1861900,1439103,735226,429998
El Salvador,SLV,2007,1769639,1916712,1486380,646804,286275
El Salvador,SLV,2008,1723537,1720191,1472015,786275,429749
El Salvador,SLV,2009,1606669,1872931,1482992,777227,417859
El Salvador,SLV,2010,1711528,1870579,1467203,781146,353421
El Salvador,SLV,2011,1605371,1993046,1574235,743653,294262
El Salvador,SLV,2012,1716280,2057929,1548084,652397,263232
El Salvador,SLV,2013,1955255,2077581,1434515,588083,210642
El Salvador,SLV,2014,1966627,2093435,1452058,587894,195110
El Salvador,SLV,2015,2084284,2181887,1413259,519847,125844
El Salvador,SLV,2016,2195770,2165862,1314569,532271,147665
El Salvador,SLV,2017,2295549,2210929,1326288,433679,121679
El Salvador,SLV,2018,2566319,2167272,1175310,414550,97289
El Salvador,SLV,2019,2836739,2177254,1072649,286093,80815
Estonia,EST,1993,625617,522987,263498,64644,17382
Estonia,EST,1995,530212,563187,275938,60578,6719
Estonia,EST,1998,637721,471865,237521,37472,1577
Estonia,EST,2000,603207,506653,214897,54255,17973
Estonia,EST,2001,563558,522628,232578,55513,13838
Estonia,EST,2002,582915,501826,227463,53453,13693
Estonia,EST,2003,617908,487686,192694,59280,13152
Estonia,EST,2004,733074,433173,158340,31788,6175
Estonia,EST,2005,1079545,201110,51866,11982,10272
Estonia,EST,2006,1158755,145760,24374,8374,9547
Estonia,EST,2007,1218113,92137,20315,4413,5702
Estonia,EST,2008,1212165,95358,19684,5144,4739
Estonia,EST,2009,1188873,106893,24553,6789,7407
Estonia,EST,2010,1141842,137931,30918,11370,9414
Estonia,EST,2011,1161217,121269,23850,8099,13004
Estonia,EST,2012,1177693,98922,28369,8248,9464
Estonia,EST,2013,1170875,100805,27115,8197,11005
Estonia,EST,2014,1200956,74187,23829,6667,8906
Estonia,EST,2015,1226335,65884,11154,4315,7719
Estonia,EST,2016,1249545,47837,9610,2613,6185
Estonia,EST,2017,1267189,37421,5769,3465,3540
Estonia,EST,2018,1280808,30508,4418,3237,3006
Estonia,EST,2019,1288833,21105,6137,4401,6422
Eswatini,SWZ,1994,6881,19496,45336,91101,744808
Eswatini,SWZ,2000,64164,82613,135077,231534,492044
Eswatini,SWZ,2009,74744,112954,181004,234048,454712
Eswatini,SWZ,2016,162691,149439,221138,255800,324926
Ethiopia,ETH,1995,753666,1432460,4317824,11204480,39339476
Ethiopia,ETH,1999,351418,1282450,5327341,20173756,37208043
Ethiopia,ETH,2004,729763,2370788,11922291,30598611,28618055
Ethiopia,ETH,2010,1202579,4434300,16593420,34233167,31176496
Ethiopia,ETH,2015,2282870,7594895,21441732,38459131,31056825
Ethiopia - rural,,1981,128892,424968,1744729,6949882,22918101
Europe and Central Asia,,1990,230546858,125603714,66208629,30428029,10570492
Europe and Central Asia,,1991,212253514,133195653,72888009,34222925,12855458
Europe and Central Asia,,1992,184731551,138823980,82956165,40893260,19640156
Europe and Central Asia,,1993,152552018,145607034,99427874,46756501,24122070
Europe and Central Asia,,1994,141144105,133129849,105151346,58330287,31510861
Europe and Central Asia,,1995,162112137,135269980,90245645,50053838,31807676
Europe and Central Asia,,1996,146508458,137334408,100923175,52935717,32018881
Europe and Central Asia,,1997,149972233,145835324,100152806,45889460,28138885
Europe and Central Asia,,1998,151556567,141666853,100720997,48007247,28194035
Europe and Central Asia,,1999,124299208,130903993,113649137,64285545,36876119
Europe and Central Asia,,2000,136353852,138315068,106155730,53875719,34860912
Europe and Central Asia,,2001,144875831,142575119,101960886,48504176,31059338
Europe and Central Asia,,2002,156459155,146493845,95332746,43370737,26865269
Europe and Central Asia,,2003,166359209,144141292,91024371,39889949,27155391
Europe and Central Asia,,2004,188588820,143103723,80161858,34336368,22634019
Europe and Central Asia,,2005,204169574,140606382,70207984,32118235,22041546
Europe and Central Asia,,2006,225137452,135407216,63119534,27320346,18635147
Europe and Central Asia,,2007,245944721,129858447,54736427,24149181,15610020
Europe and Central Asia,,2008,273007545,119533422,44949612,21253452,12756047
Europe and Central Asia,,2009,270113960,123839151,46394336,20989473,11831450
Europe and Central Asia,,2010,281550952,117191394,43950531,21036213,11269767
Europe and Central Asia,,2011,291878622,113465732,41105095,20902396,9773836
Europe and Central Asia,,2012,298938864,109942414,41106823,20179332,9100971
Europe and Central Asia,,2013,308623892,106861100,39072895,19212307,7892320
Europe and Central Asia,,2014,313084098,104278369,38981434,18841466,8872839
Europe and Central Asia,,2015,307107553,112056674,41258837,18604325,7475922
Europe and Central Asia,,2016,311930842,112223811,41431060,16826362,6457513
Europe and Central Asia,,2017,324238058,104937588,38924413,16522979,6467244
Europe and Central Asia,,2018,330044497,105161453,37951027,15029766,4903270
Europe and Central Asia,,2019,342395601,95594107,36855555,14922843,5213034
Fiji,FJI,2002,192725,277600,229447,97026,18459
Fiji,FJI,2008,219585,310124,223619,78285,13743
Fiji,FJI,2013,233725,321862,245481,60374,4160
Fiji,FJI,2019,132178,317838,310905,112602,16432
Finland,FIN,1987,4882956,37185,11982,0,0
Finland,FIN,1991,4976252,25122,12366,0,0
Finland,FIN,1995,5082546,12975,12269,0,0
Finland,FIN,2000,5137556,25873,12780,0,0
Finland,FIN,2003,5174562,28245,5786,1852,2569
Finland,FIN,2004,5201324,20022,3169,1672,1985
Finland,FIN,2005,5225009,12509,3128,2548,2902
Finland,FIN,2006,5237562,18649,5081,743,4233
Finland,FIN,2007,5260696,20934,1912,1807,3371
Finland,FIN,2008,5285393,17253,3997,3894,2862
Finland,FIN,2009,5316654,15507,3343,566,2801
Finland,FIN,2010,5340345,16994,2307,1086,2620
Finland,FIN,2011,5371099,11734,2028,857,2554
Finland,FIN,2012,5388587,16317,6113,99,2855
Finland,FIN,2013,5413766,17647,2588,340,4631
Finland,FIN,2014,5441833,12588,2904,573,3614
Finland,FIN,2015,5451165,17683,4957,1879,3847
Finland,FIN,2016,5471909,12138,6734,1970,2552
Finland,FIN,2017,5485853,15571,2086,1081,3623
Finland,FIN,2018,5498665,6543,4144,3042,3131
Finland,FIN,2019,5504286,11598,202,3376,2144
France,FRA,1978,51823880,1641855,410235,274147,541749
France,FRA,1984,52675864,1978121,560487,279387,843816
France,FRA,1989,55488855,1447808,282718,147241,573577
France,FRA,1994,58440372,738870,0,147958,0
France,FRA,2000,60153389,610030,0,149081,0
France,FRA,2003,61521822,504867,93255,26989,97947
France,FRA,2004,62205860,345725,83699,41028,28589
France,FRA,2005,62510907,513217,121810,6220,27202
France,FRA,2006,62992039,526351,76178,9230,17578
France,FRA,2007,63735167,225298,36008,10236,9518
France,FRA,2008,63981980,319062,60686,7012,6239
France,FRA,2009,64157609,341145,130959,48625,28697
France,FRA,2010,64451834,397720,100246,24372,53333
France,FRA,2011,64828218,392125,82143,23455,16848
France,FRA,2012,64980256,499790,121334,23306,35128
France,FRA,2013,65531510,360387,21783,45148,39857
France,FRA,2014,65997915,218769,67743,15254,12386
France,FRA,2015,66133170,204806,109902,11515,88879
France,FRA,2016,66351575,226574,63953,43218,38784
France,FRA,2017,66656281,219754,20733,12134,9118
France,FRA,2018,66809047,220914,23460,34305,14204
Gabon,GAB,2005,229094,381926,420493,248176,110861
Gabon,GAB,2017,725211,674552,433546,161604,69899
Gambia,GMB,1998,15890,43258,103175,198865,876936
Gambia,GMB,2003,56252,128126,254213,342319,669015
Gambia,GMB,2010,98105,248397,488186,503877,454634
Gambia,GMB,2015,136456,434018,714552,586049,214785
Georgia,GEO,1996,1066337,1601911,1073519,510437,239495
Georgia,GEO,1997,460729,1085566,1246752,863108,693758
Georgia,GEO,1998,431979,1083300,1260405,853840,614083
Georgia,GEO,1999,315825,854566,1271336,944926,770539
Georgia,GEO,2000,298170,780268,1197561,1018307,782825
Georgia,GEO,2001,253245,707415,1190598,1098948,764167
Georgia,GEO,2002,443846,1034942,1309759,778576,411392
Georgia,GEO,2003,448106,1036995,1277867,777268,411500
Georgia,GEO,2004,472474,1143996,1218310,701837,390723
Georgia,GEO,2005,460808,1050929,1217081,755384,418267
Georgia,GEO,2006,435314,1032924,1244433,769322,398354
Georgia,GEO,2007,401129,969691,1234397,807963,446978
Georgia,GEO,2008,501612,1037450,1197142,720897,391348
Georgia,GEO,2009,477594,1051618,1182294,717908,385005
Georgia,GEO,2010,477594,1008219,1140708,707427,452747
Georgia,GEO,2011,515907,1023761,1154602,645243,416928
Georgia,GEO,2012,602327,1080324,1098599,632006,315618
Georgia,GEO,2013,735366,1143703,1065736,533822,239041
Georgia,GEO,2014,787899,1232900,1038113,477595,182907
Georgia,GEO,2015,802211,1253674,1083915,447765,137711
Georgia,GEO,2016,796743,1315898,1015210,457879,141775
Georgia,GEO,2017,854110,1272554,1002860,412970,185510
Georgia,GEO,2018,833528,1309905,1004601,411248,167267
Georgia,GEO,2019,812591,1347454,1008759,410614,140743
Georgia,GEO,2020,646350,1338381,1096218,475818,157233
Germany,DEU,1991,79415909,438566,159421,0,0
Germany,DEU,1992,79855877,577035,0,191686,0
Germany,DEU,1993,80560485,398481,197397,0,0
Germany,DEU,1994,80432716,608708,243646,0,153278
Germany,DEU,1995,80453635,828044,198361,0,198011
Germany,DEU,1996,81148868,562750,0,203213,0
Germany,DEU,1997,81420690,434615,0,179466,0
Germany,DEU,1998,81438381,407158,201656,0,0
Germany,DEU,1999,81286897,620368,0,192978,0
Germany,DEU,2000,81598285,408245,0,204978,0
Germany,DEU,2001,81735246,410451,204228,0,0
Germany,DEU,2002,81677029,609797,201669,0,0
Germany,DEU,2003,81712335,633501,0,188340,0
Germany,DEU,2004,81910116,434116,0,172028,0
Germany,DEU,2005,81853478,411387,204557,0,0
Germany,DEU,2006,81758825,448145,169481,0,0
Germany,DEU,2007,81651435,413978,200959,0,0
Germany,DEU,2008,81494698,412448,0,202951,0
Germany,DEU,2009,81289221,410204,202882,0,0
Germany,DEU,2010,81169918,402728,0,204284,0
Germany,DEU,2011,79876273,198311,200399,0,0
Germany,DEU,2012,79826432,402901,196490,0,0
Germany,DEU,2013,80055412,405216,184977,0,0
Germany,DEU,2014,80173138,606988,0,202374,0
Germany,DEU,2015,81079389,410535,196687,0,0
Germany,DEU,2016,81528249,614551,205869,0,0
Germany,DEU,2017,81832571,631383,0,0,193048
Germany,DEU,2018,82076948,621796,0,207038,0
Ghana,GHA,1987,197686,789608,2555986,4513853,5494888
Ghana,GHA,1988,239443,848501,2669865,4563841,5625397
Ghana,GHA,1991,239318,886523,2326198,4474446,7280875
Ghana,GHA,1998,616567,2223752,4118394,5112119,6286327
Ghana,GHA,2005,1628482,3621145,6102572,5366942,5095507
Ghana,GHA,2012,4327800,6391709,7232435,5142492,2902018
Ghana,GHA,2016,5129342,7663984,7333058,4750916,3604647
Greece,GRC,1995,8819963,1267338,238130,53186,183536
Greece,GRC,2000,9620150,915900,164670,51804,53284
Greece,GRC,2003,10294466,453849,102808,19103,57844
Greece,GRC,2004,10376069,391854,75501,40429,71288
Greece,GRC,2005,10307649,503097,117858,21511,37199
Greece,GRC,2006,10348539,463026,107194,40692,60911
Greece,GRC,2007,10486651,373988,101659,31014,55161
Greece,GRC,2008,10510179,430469,77297,21739,38157
Greece,GRC,2009,10521098,421724,89554,4702,69939
Greece,GRC,2010,10292040,565419,118097,37567,108218
Greece,GRC,2011,9633609,943424,304657,92980,130229
Greece,GRC,2012,8929815,1424346,368370,160143,162337
Greece,GRC,2013,8732284,1458710,479738,184917,109562
Greece,GRC,2014,8671583,1447292,443278,163403,166857
Greece,GRC,2015,8608324,1455589,441901,163727,151342
Greece,GRC,2016,8828044,1341616,382716,110011,113584
Greece,GRC,2017,8942502,1312014,326190,78571,95402
Greece,GRC,2018,9226699,1192584,281868,16752,14979
Greece,GRC,2019,9430225,921781,230739,61810,77027
Guatemala,GTM,1986,446558,772229,1307233,1624225,3954676
Guatemala,GTM,1989,1063098,1320599,1650296,1579124,3192878
Guatemala,GTM,1998,2783676,2727298,2411832,1633952,1489457
Guatemala,GTM,2000,3361417,2995836,2636238,1518133,1078137
Guatemala,GTM,2006,4091776,3352627,2563460,1731304,1474163
Guatemala,GTM,2014,3492121,4291146,3787524,2391794,1343731
Guinea,GIN,1991,65,0,94950,438470,6001451
Guinea,GIN,1994,223125,525639,1107934,1701176,3523245
Guinea,GIN,2002,118514,311897,898378,1847974,5409314
Guinea,GIN,2007,84223,454671,1235472,2188966,5554827
Guinea,GIN,2012,131156,664385,2299015,3712789,3844687
Guinea,GIN,2018,129708,1138862,3648571,4618852,2878299
Guinea-Bissau,GNB,1993,30112,80134,194057,278651,460467
Guinea-Bissau,GNB,2002,9515,39625,145674,349369,710271
Guinea-Bissau,GNB,2010,46429,47587,128376,258877,1041334
Guinea-Bissau,GNB,2018,54702,208089,496304,652867,462342
Guyana,GUY,1992,33458,105492,198945,194275,216426
Guyana,GUY,1998,150087,219302,203812,91552,89025
Haiti,HTI,2001,322747,555154,853963,1440767,5436179
Haiti,HTI,2012,579484,1612331,2907522,2641240,2510345
High income countries,,1981,748933874,67405719,19512953,5285681,5290919
High income countries,,1982,757197164,66638147,18794635,5077164,5220713
High income countries,,1983,767416262,64998565,16504756,4810334,5244302
High income countries,,1984,775778698,63339710,15716862,4555562,5285226
High income countries,,1985,785206261,60960164,14814345,4582528,4870242
High income countries,,1986,797771232,56148541,13495961,4304224,4663762
High income countries,,1987,810113171,51605194,11861149,3829219,5019957
High income countries,,1988,825442302,45110129,10339494,3187751,4606350
High income countries,,1989,839092614,40251694,9143622,2959312,4077947
High income countries,,1990,851086212,36947476,7954979,2796126,4070622
High income countries,,1991,861255539,35326184,7875625,2478952,4057982
High income countries,,1992,868279439,35460569,8044950,2986908,4194210
High income countries,,1993,874426551,36728885,7723213,3060730,4547720
High income countries,,1994,884888626,33302013,7855666,2957088,4482187
High income countries,,1995,893345577,32629671,7038300,2782234,4485853
High income countries,,1996,904059678,29593964,6483600,2745837,4356472
High income countries,,1997,911494774,29431667,6116649,1821821,5148284
High income countries,,1998,918387691,28200899,6276132,2551899,5208773
High income countries,,1999,928707380,26061967,5580142,1910605,4942608
High income countries,,2000,938424297,23948196,5128927,1940923,4713282
High income countries,,2001,947311217,21749707,5003527,2443148,4739489
High income countries,,2002,954232007,21663253,5815998,1940028,4730433
High income countries,,2003,960469267,22182438,5100002,2111862,5544299
High income countries,,2004,967800251,22137211,5275477,2266138,5337526
High income countries,,2005,975448635,22617532,4841403,2015333,5480998
High income countries,,2006,985645883,20565168,5282555,1963188,5195278
High income countries,,2007,996327748,19646765,4090777,2064218,5153099
High income countries,,2008,1003186703,20695742,4929270,2298430,5317524
High income countries,,2009,1014788239,18085721,5088964,1183374,5385998
High income countries,,2010,1022097811,17464928,4742159,2373313,5283394
High income countries,,2011,1025552063,18202798,5118579,2301985,5936261
High income countries,,2012,1030605202,18563006,5770925,2562599,6104628
High income countries,,2013,1035647897,19786446,5367330,2550361,6785233
High income countries,,2014,1041776227,19782505,5190660,2778168,7309667
High income countries,,2015,1049104801,19060538,5606915,1651764,7930903
High income countries,,2016,1058197167,17146214,5278934,2325003,6906909
High income countries,,2017,1064678349,16955096,4147934,2098132,7673933
High income countries,,2018,1071385548,15656276,4592444,2504244,6674078
High income countries,,2019,1077814516,14527449,4691261,1574077,6657896
Honduras,HND,1989,388529,568876,842325,950491,2064475
Honduras,HND,1990,343392,542394,851552,989917,2228047
Honduras,HND,1991,437142,641198,1064445,1215950,1739859
Honduras,HND,1992,514672,755777,1210256,1232316,1531656
Honduras,HND,1993,665292,994914,1237809,1184631,1311770
Honduras,HND,1994,748967,968438,1225046,1110738,1495780
Honduras,HND,1995,757841,941618,1195705,1206183,1607663
Honduras,HND,1996,684904,933463,1222738,1191484,1842225
Honduras,HND,1997,938084,1210327,1431976,1144636,1320681
Honduras,HND,1998,1034369,1188861,1345773,997521,1653881
Honduras,HND,1999,1041367,1156458,1390826,1096152,1712337
Honduras,HND,2001,1619684,1376275,1326849,949754,1479350
Honduras,HND,2002,1335767,1364469,1404927,1166925,1657179
Honduras,HND,2003,1228088,1299299,1338160,1216019,2024757
